Title,Len,Content,Publishing Date
The 6 Hottest Up-and-Coming Cities For Millennials Who Cherish Bodily Autonomy,2066,"As the millennial generation ages, new cities are emerging as the most popular places to live, work, and cling desperately to the hope of maintaining agency over one’s own body. As many Millennials are more willing to pick up and move more than ever before, check out these six up-and-coming hot spots where people with uteruses are not legally seen as vessels…for now!   Colorado’s fast-growing capital offers stunning mountain views, more breweries than any other U.S. city, and the legal right to physical autonomy. While 87% of counties do not have an abortion provider, you’ll be just fine as long as you stay close to Denver. Not bad, for America!   You won’t bleed out from a DIY procedure in this seaside capital! This quaint college town is home to several performing arts venues, and the famous WaterFire art installation. Like its neighbor Massachusetts, Rhode Island will probably be one of the last holdouts in the great culture war where women are used as collateral.   Home to the Georgia O’Keeffe Museum, the Canyon Road art galleries, and the largest indigenous art fair in the country, one of the best things about this artsy southwestern locale is that doctors can’t be imprisoned for providing healthcare to women. Yet! Better keep donating to the ACLU for now!     While less well-known than nearby hipster haven Portland, the smaller city of Bend offers ample opportunities for nature lovers to hike, kayak, and independently make personal, life-altering decisions about their present and future.   History, cherry blossoms, and politicians paying for their secret lovers’ abortions are timeless D.C. staples that constantly endure. Shack up in the nation’s capital and rest assured that access to reproductive healthcare is close, safe, and legal – plus you’ll get a front-row seat to the legal apocalypse heading its way any day now.   This tiny, charming coastal city has a population of just 3,000, and with three Canada-US border crossings, it is the place to escape the country before it goes full dystopia. Don’t forget to pack a go-bag!","May 16, 2019"
Why I’m Not Having Kids Unless Someone Leaves a Baby On My Doorstep,2127,"The idea of parenthood gives me a lot of anxiety. While I know a lot of people look forward to it and even think procreation is their life’s purpose, my response is: “Um, I’m okay, thanks.” Having kids just isn’t for me. That is, unless, someone anonymously leaves a bundled-up newborn in a cradle on my doorstep on a dark and stormy night.   Having kids isn’t financially possible for many adults in their childbearing years, especially millennials struggling through underpaying jobs, overwhelming student loan debt, and unaffordable health insurance. Raising a healthy child requires stable healthcare, having a home that can support a growing family, and being able to plan for a child’s future and success. But I suppose if, by chance, someone abandoned a little peanut on my front stoop in the dead of the night and I awoke to its pitiful cries, I’d step up and do the right thing, you know?     I’m also afraid of the harsh world I would bring a child into. It’s a scary time right now for various reasons. Compounded with possibly passing down mental health issues that run in my family, it could be disastrous for an innocent child entering this imperfect world. And the toll a pregnancy can take on a woman’s body? Can you imagine juggling all that along with your own financial burdens? I couldn’t, unless someone ding-dong ditched an infant on my front step. Then I’d have to and I absolutely would. I’m not saying do it, but I’m not not; you know what I mean?   There’s such a stigma against adults like me who elect not to make sacrifices necessary to have kids. Some of us don’t have that paternal instinct or entered careers and lifestyles that aren’t compatible with parenthood. It’s not fair for children to be raised by parents who can’t be there for them. So, of course, I’m not saying that parenting in general is wrong. I’m just saying that I’m exercising my choice not to have my kids unless destiny dumped an unclaimed one on my welcome mat. In that case, I’d accept that child and the accompanying parenthood I didn’t ask for with wide-open, non-soliciting arms.   Anyway, please give me a random baby.","Apr 29, 2019"
"Beto Made Me Wet, but Ocasio-Cortez is FLOODING My Pants",1930,"It’s no secret to anyone who reads real news that we had some exciting candidates running for office this fall. While I understand Beto was a popular liberal crush and I will admit I entertained the occasional daydream of him ramming me in a campaign office closet, the left-leaning candidate wielding the most fuck power is clearly Alexandra Ocasio-Cortez. I mean, just look at her. Watch anything she does. I’m watching closely. And I like it.   Beto wore a dress once and that was pretty sexy. But Ocasio-Cortez is nonstop fierce fire and that is making me sweat. She led a protest on climate change. She’s refusing to suck Amazon’s dick, unlike Cuomo. She stands on tables, which is a surefire way to guarantee blood will rush to my genitals and make my panties damp.   I’m not saying I would kick Beto out of bed. He’s undeniably adorable! But Ocasio-Cortez looks amazingly sensual and cover-ready in her signature red lip but is also hot AF just chillin’ with no makeup on making mac and cheese in her kitchen on Instagram live. Basically however she looks I am drooling downstairs. I can’t help it, but she makes me wetter than an ocean, and I’ll stand by that.     Beto is a golden boy out of central casting in the 1940s. He’s Jimmy Stewart with a bigger dick. I don’t not want it, so don’t come at me! But Ocasio-Cortez is giving us former-bartender-can-still-barely-afford-an-apartment realness. She’s who I want fighting for me to have healthcare and housing and she’s who has ruined another pair of my underwear. Cause of me being wet as fuck, of course!   To all the people who feel differently, I agree that Beto is a smart guy you want to teach you a sexy lesson. But Ocasio-Cortez has the fierce nerd passion that makes your body absolutely leak. I genuinely hope Beto continues to find ways to lead and build coalitions. And I know Ocasio-Cortez will continue being a hot bitch who turns my vagina into a faucet.","Nov 15, 2018"
"Yasss! Black Women are KWEENS, Unless They’re Talking About Something I Can’t Relate To",1649,"As an intersectional feminist and a freelance blogger, I know it’s important to advocate for all of us, especially women of color. That’s why black women are KWEENS! Unless they’re talking about something that I can’t personally relate to – in which case, I really have no idea!   Black women have always held a key role in the fight for women’s rights: They’ve fought for the right to vote, the right to work, and our reproductive rights, right alongside white women. So it’s crucial to recognize the KWEENS that they are! But it’s also crucial that the black women around me make sure that they only discuss struggles that I myself can understand and relate to so I don’t feel exlcuded. Ahhh sorry!!!!   It’s not that I don’t care about the inadequate healthcare for black women, or the unfair assumptions made about their temperament or intelligence, it’s just that I feel left out of those conversations because I don’t experience any of that and don’t really have anything to add? If I can’t talk, how am I supposed to call them KWEENZZZ??     There is so much I want to celebrate about my GIRLS!! As long as we don’t talk about anything that I can’t identify with tho!!! For example, the wage gap between women and men? HELL YES QUAINS!! Or how about the additional wage gap between white women and black women? Now that’s where I gotta bow out! The black KWEENS I know and love understand that inclusion is important, especially when it comes to me!!   What I mean to say with all this is: Black women undeniably KWEENS, but are at their absolute KWEENiest when I know what they’re talking about and can actually relate to it!! YASSSS KWEENS!","Feb 2, 2018"
5 Protein Smoothies That Will Give You Enough Energy to Log on to Twitter,2585,"You’re a busy woman and it probably feels like you’ll never have as much time and energy as you need. Smoothies that are high in protein are a great way for women to pack a lot of high-energy foods into a meal that’s easy to prepare and strong enough to prepare you for going online. These five protein smoothies are the perfect way to consume the protein and energizing nutrients you need to log on to Twitter.   Coffee Protein Shake You’ll probably need both protein and caffeine to get through another day online. Why not combine them into a smoothie, which you can sip while reading another series of devastating personal stories about the fight for better healthcare coverage? The GOP is trying to ram another bill through the Senate? Take a sip! Mmm, delicious and nutritious!   Berry Chia Seed Smoothie Chia seeds might be small, but they pack enough protein that you’ll be able to participate in the exhausting ritual of refreshing Twitter for the 38th time today. Prepare a smoothie with chia seeds, juice or yogurt, and your favorite berries before you open the Twitter app, and you might just have enough energy left to do work instead of staring helplessly at a wall. It’s amazing what eating right can do!   Peanut Butter Banana Smoothie This smoothie is as delicious as it is protein-packed, providing you with both the energy and peace of mind you need to venture online. Peanut butter provides the protein you’ll need to read another Twitter thread about climate disasters, while the bananas will give your body enough nutrients to report six men, including the President, for targeted harassment. Superfoods, amirite?     Coconut Almond Smoothie This rich, creamy smoothie contains enough protein to sustain your social media addiction. The almonds will give you the mental energy to seriously ponder the questions: why am I on this app? Why do I bother? Am I learning or just confirming my own beliefs? Are we all going to die, or will just some of us die? Aren’t almonds amazing?   Healthy Greens Smoothie Throw some kale, spinach, and almond butter into a blender and pray that Donald Trump won’t tweet today. The nutrients in the greens will give you the sustenance you need to open Twitter, but kale can really only go so far. Better stuff cookies into your face to ease the pain!   Hopefully these protein-based smoothies will provide you with the stamina necessary to scroll through Twitter in the year 2017. Combine them with some turkey for lunch and a healthy salmon salad dinner, and you might be revitalized enough to allow Vox to explain something to you.","Sep 26, 2017"
Has Feminism Gone Too Far Now That It Is Specifically Critiquing Me?,2680,"I’m a devout feminist, possibly one of the most devout you’ll ever meet. From the minute I wake up until I fall asleep at night, the only thing I think about is women’s rights. However, I can’t help but wonder: Has feminism gone too far now that it is specifically critiquing me?   I’ve made many generous donations to Planned Parenthood throughout my life. That’s just part of what being a good feminist entails – supporting women’s healthcare. And if you don’t believe the money I’ve donated, read my receipts. Hold them in your hands. Memorize the amounts. I’m definitively an ally to all women everywhere, but even I have my limits.   What are my limits? Well, they begin with me and end with me when I’m facing criticism.   So, with this in mind, let’s discuss objectively why questioning my behavior means the failure of feminism.     First off, feminism has no hierarchy. If it did, my efforts would likely land me at around a Level 8. As a theoretical Level 8 feminist with years of feminist experience, I’m not only appalled, but also profoundly disturbed that my peers would seek to challenge me in absolutely any way. For example, labeling me a “faux feminist” simply because I use my platform to hawk luxury goods, thereby profiting off women’s ambitions while refusing to support actual policies that would help them achieve those ambitions? Wow.   Attacking other women, in this case exclusively me, is against everything feminism stands for.   Of course, I’m all for the optics of female empowerment. But when we begin to apply the ideals to personal conduct, i.e. mine, I feel we have a collective responsibility to take a step back for a moment and ask ourselves: Have we finally gone too far?   I speak out of concern not only for myself, but for the state of modern feminism now that it has inarguably shifted into something ugly and negative, namely in and around the space that is me. If I, a woman who calls herself a feminist, am forced to face minute criticism by my female peers, then what’s next? Me facing MORE criticism? For God’s sake! I sell a $900 T-shirt that says “FEMINIST” on it. Trust me when I tell you, you have the wrong girl.   Women can’t “fight the patriarchy” effectively if we can’t even concede to me that I’m right all the time. How can we expect to be taken seriously as a gender when we can’t blindly agree?   If I seem defensive, I’m not. You are.   I’m being unfairly punished by my fellow women for following my brave decision to not listen to any of them. That’s a consequence I will simply have to accept. However, believe me when I tell you that we need to do better as feminists. And we can start by no longer criticizing me.","Sep 7, 2017"
How To Bravely Express Your Opinion Now That Everyone Else Shares It,2639,"Six months ago you might have needed some kind of backbone to express your opinions. But the time has come to stand up, be counted, and make your voice heard on the most challenging issues that everybody you know already agrees on. Here is how to stand up and finally say, “This is what I believe, and what we all happen to believe because it’s a cool and normal belief now.” Here’s how, you, too, can join this noble (and luckily popular – phew!) fight.   Pick An Issue Before you can express an opinion, you have to have an opinion, so take a look at the world around you and try to find ways to fix it that have been around for decades but which we’re finally gonna do now, for some reason. Like universal healthcare! Maybe you didn’t pay much attention to this issue when Hillary Clinton was campaigning for it in the 1990s, but now everyone seems to think universal healthcare is a good thing, so alternate between calling your senators and tweeting about calling your senators so people know you’re really taking a stand. Voilà! You’re brave now!   Share An Article The easiest way to take a vocal stance on an issue is to find someone else’s more researched stance and then post their op-ed with the caption “this.” No need to weigh in and add any nuance to their take. On any issue, from the situation in Syria to the wage gap to whitewashing, “this” is all you have to say to stand for what’s right after enough other people have already said it. You finally speaking up now that it’s commonplace? Now THAT’S “this.”   Make It About Yourself The best part about having once-controversial but now-widely-accepted opinions is how you can show others that you’ve actually been cool all along! When someone shares a detailed, well-thought-out and reasonable argument about why calling out transphobic jokes isn’t the same thing as censorship, you should definitely comment that you actually never liked that comedian anyway. Or when one of your POC friends expresses dissatisfaction with a musician’s appropriation of black hip-hop culture in a music video, you absolutely need to chime in with how you don’t listen to that music anyway. Never admit that you may have learned something about your own privilege, ever. Always brag about your long-held superiority. That’s the choice that takes courage!     When you think back, you probably could have deduced which causes were worth standing up for a long time ago. However, it’s just so much easier now that everyone is on the same page and you know you’re not going to get too much flack for it. Do the work to fight for what’s right now that you know it won’t require as much work!","Aug 30, 2017"
Woman Who Regrets Voting for Trump Still Pretty Racist,2286,"Janet Ballard of Poughkeepsie, New York, now wishes she hadn’t voted for President Trump. However, she’s still super racist.   While Ballard had somewhat opened her mind to others’ viewpoints after the election — viewpoints like “maybe we shouldn’t dump coal into streams” or “I want my children to have health insurance” — at the end of the day, she still really just likes one race, and one race only.   “Do I wish Trump would stop tweeting out nonsense? Yes. Do I wish he would stop trying to take away my healthcare, sure,” Ballard said. “Do I still mutter ‘Go back to your country’ when my server at Chili’s gets my order wrong, even if they’re a Sicilian-American who was born in Iowa? You betcha. I just thought we’d have that big beautiful wall by now. To keep out the illegals. He’s really let me down.”   While Ballard has admitted that, since November 9, Trump seems like “not such a great guy after all” and is “probably worse than my ex-husband,” she still can’t quite put her finger on why she strongly dislikes the only woman of color at her workplace. When asked about her co-worker, Ballard said, “Just something about her I don’t like,” and then told an anecdote that stereotyped the woman based solely on skin color. “I also really thought Hillary would be in prison by now,” she added. “Obama too. Like that woman at work, there’s just something about him.”     Ballard’s daughter, Amy, initially welcomed her mom’s newfound anti-Trump views with open arms. “I thought, ‘Cool, she feels bad for voting for him. That’s great!’” Amy said. “But then at the grocery store, the cashier — a lovely man who happens to be from India — told us how much we owed, and my mom scoffed and said, ‘You’re just looking for a handout.’ Then she walked outside and said to an Indian man in a suit, ‘Why is our cashier following me to my car?’ So yeah. I guess she’s still crazy racist.”   While Amy is worried about her mom’s racism, she’s confident that it’s a step in the right direction. “It could be worse,” Amy said. “My mom could like Trump and hate people of color. No, wait, never mind. It’s still pretty bad.”   Ballard was last seen scraping a Trump/Pence bumper sticker off the back of her car while complaining about her neighbors who, she said, “don’t quite fit in here.”","May 11, 2017"
Cool Smart Liberal Guy Silent,2171,"As Donald Trump’s presidency threatens the foundations of democracy, self-proclaimed progressive Gavin Owens, a cool smart liberal guy, has remained startlingly silent on all social media, when talking to his racist grandparents, and unintentionally walking by protests.   Owens’ silence in the face of a borderline fascist regime contradicts years of liberal leanings. His favorite book, which he has carried in his back pocket on first dates for six years straight, is Henry David Thoreau’s Civil Disobedience. He’s been at the forefront of such noted liberal causes as marijuana legalization, describing himself as a feminist, and wearing mismatching socks because “fuck the system.” However, massive political organizing by his peers seems to have soured the liberal cause.   “I’m a progressive through and through,” Owens says. “I don’t need to speak up in order to prove that.”   Owens held to his position over the weekend, despite the fact that people were protesting at airports in response to an actual enacted threat to refugees, Muslims, and U.S. citizens.   In fact, Owens hasn’t hauled his Herschel backpack to any recent protests that have occurred in and around his Brooklyn neighborhood.   “I’ve seen the Snapchat videos, and all that chanting is groupthink,” he explains. “It’s just as bad as blindly following Trump.” However, his ex-girlfriends suspect that his disinterest is rooted in the fact that it is nearly impossible to protest ironically, and also that he has never read 1984, despite his insistence that others do.   “I always assumed he was a liberal because he liked hiking,” laments Mara White, whom Owens broke up with because she couldn’t attend one of his poetry readings. “But he hasn’t even posted to Facebook about the Affordable Care Act, which is where he gets his healthcare.”     “Social media doesn’t do anything,” Owens responds. “It’s an echo chamber.” This opinion hasn’t deterred him from promoting his SoundCloud four times in the past month.   At the end of the day, Owens will at least be able to feel proud that he stuck to his core belief: speaking earnestly about something when you’re not trying to get laid is lame.","Feb 1, 2017"
Incredible! This GOP Senator Refuses to Learn What an IUD Is,2400,"Most people desire to be prepared for work, but one Republican Senator is willing to enter the workplace completely unprepared to speak to the issue on which he is actively passing legislature. That’s right—Senator Roy Blunt of Missouri absolutely refuses to learn what an IUD is.   Honestly, even we’re impressed!   According to reports, Blunt is devoted to legislating women’s healthcare, but isn’t fully aware of what women’s healthcare actually is.   “He’s hell-bent on hobbling Planned Parenthood, yet he doesn’t even know that an IUD is a T-shaped birth control device inserted in the uterus,” says aide Cassandra Miller. “I can understand having to learn new things in old age, but Senator Blunt just says things like, ‘Get out of my office with that thing, I don’t want to see that.’”   Millions of Americans are awed by the willful ignorance of this man whose vote will determine if women live or die. Wow!   Supporters of Blunt don’t feel his lack of knowledge is a problem.   “He doesn’t need to know what things are to hate them,” 44-year-old Gary Britton says. “I’ve never even tasted sour cream, but any time a waitress puts them on my nachos, I yell at her. That’s my right.”   According to reports, many people have attempted to educate Senator Blunt but he has refused.   “Sometimes I just gently knock on his door and say, ‘Excuse me, Senator, would you like to learn about different birth control options?’” an anonymous staffer shares. “It’s almost gotten me fired like ten times. He really doesn’t care, unless it’s in a context where he can take it away from women.” Now that’s incredible!   Another staffer confirms Blunt’s utter obliviousness.   “He think IUD stands for ‘Inner Upper Diaphragm,” she shares. “But I think he’s just referring to the body part, not the contraceptive device.”   Dozens of other Republican senators support his stance.     “So what if we don’t know what an IUD is?” Senator Marco Rubio asks. “We aren’t even fully clear on what an abortion is and we just totally made up the term partial-birth abortion. Why can’t we do that with long-term, safe contraception?”   At press time, all the Republican male senators were seen texting under the table as Senator Elizabeth Warren spoke on the Senate floor.   Says one senator, “We’ll listen when the topic is something actually relevant to our lives.”   We’re so, so amazed by Senator Blunt’s resolve!  ","Jan 11, 2017"
How To Avoid Jessica At The Women’s March On Washington,2214,"The Women’s March On Washington is set to be the largest inaugural demonstration in history. On January 21, up to 200,000 people of diverse backgrounds will gather to demand protection of women’s rights, personal safety and access to healthcare as we shift into uncertain times. Here’s how to avoid that ubiquitous pain in the neck, Jessica, who’s also going to the march, because of fucking course she is:   Ignore Jessica’s texts. Jessica already saw your excited post, so it’s too late to act like you’re not going. But you can still ignore any “Hey, how are you getting to DC?” and “I’m in DC!!! Where are you???” texts from her. God, she’s so fucking intense. When she sees your Snapchats with Gloria Steinem speaking in the background, just play dumb and blame the bad reception if Jessica finds you and asks you why you don’t call her anymore.   Write your sign with your non-dominant hand. While exercising your right to demonstrate, proceed with caution in making your poster by using your non-dominant hand. She’ll never recognize your scrawl of “LOVE TRUMPS HATE.” And it’s not a lie—you don’t hate Jessica, you just can’t stand her, and no amount of love can change that.     Avoid initiating new chants. While it’s totally fine to join chants already in progress, if you really want to avoid Jessica, don’t give into temptation to start a new chant yourself. You’ll definitely catch her attention if you start asking what a feminist looks like. Let Jessica focus on what the other 199,000 feminists look like and stay off your jock. God.   Duck behind a Port-a-potty. With that many women in one place, you know the Port-a-potty line is going to be slow and long—that’s not misogynistic, it’s just true! It takes longer to sit down! So if Jessica approaches the area, duck and cover. The last thing you need in Trump’s America is to get sucked into another dumb fucking conversation with Jessica about her compost pile that caught fire.   The Women’s March On Washington is one of the most important demonstrations of our lifetime. Thousands of women and femme expressive people will gather in the name of sisterhood. But thankfully, that doesn’t mean you have to hang out with Jessica, not this time.","Jan 9, 2017"
Incredible! This Woman Doesn’t Need to Win an Argument to Feel Morally Superior About It,2114,"This week, 26-year-old Andrea Shieh proved that she could lose an argument and still feel completely morally superior to her opponent, all at the same time.   “My aunt and I got into this heated argument when she said she voted third party in the election, and I called her decision selfish and then we just kind of yelled back and forth from there,” says Shieh. “I didn’t win the argument. Nobody did. But that didn’t stop me from feeling morally superior to her for making the right choice.”   Shieh walked away with her head held high, proving that you don’t need to accomplish anything in a debate to walk away feeling like the better person.   “She does this a lot,” says Shieh’s sister, Pam. “She’ll see an opportunity to call someone out without even giving them any logical explanation of why. The amazing thing is she doesn’t even need to get through to the other person to feel satisfied with herself.”     “It’s not really about winning or losing,” says Shieh. “It’s more about loudly asserting my beliefs so everyone knows I have them because I am right. And because they’re the right ones, I feel pretty pleased about it regardless of who I’m failing to convince.”   What an inspiration! Shieh doesn’t pull any punches when it comes to being honest about her self-righteous motivations.   “One time, a lady in a giant SUV with a bunch of American flag stickers backed into me in the parking lot,” says Shieh. “So I started telling her off about carbon emissions until she drove away. I didn’t make a difference, but I still felt proud of myself.”   Shieh later admitted the parking lot incident was technically her fault since she parked directly behind the SUV. But in a remarkable feat of moral indignation, she still felt herself to be in the right overall.   “Sure, I pulled right up to her bumper. But even if I’m being the shitty one in the situation, at least I’m driving an electric car. That counts for something, right? I think it does, and that’s all that matters.”   At the conclusion of the interview Shieh was seen losing an argument with her sister about universal access to healthcare.","Jan 9, 2017"
6 Mall Santas Who Have Better Health Insurance Than You,2256,"Being a Mall Santa is hard work, but if Santa plans and saves well, he can afford decent health insurance with a pretty low deductible. In spite of their humble jobs, here are six mall Santas that have a lot better health insurance than you right now.   Roger Berger, Stoneridge Shopping Center By securing one of the most coveted store Santa positions around, Roger is able to afford a Cigna healthcare plan so solid you can only dream of its pleasures. This plan’s benefits are great for Roger who has type II diabetes, and would also be amazing for you, who has several mysterious conditions that are going to remain undiagnosed.   Joel McCormick, Mall of America The Mall of America Santa season starts early, which is great for Joel, who has a limited number of weeks to secure his seasonal pay. Luckily this renowned mall pays well and covers housing, allowing Joel to afford Kaiser Permanente health insurance that covers mental healthcare, something he’ll need in the off-season and worrying about next year. Can you imagine having mental health coverage?! Of course you can’t. Your plan has a $6000 deductible.   Gerald Hooks, King of Prussia Mall Gerald makes enough in two months of letting kids sit on his lap to cover a year of his Blue Cross Blue Shield plan, which offers him a low $10 copay on even Tier 4 drugs. Your plan might be helpful if you end up in the ER, but you’re not betting on it.   Dan Hagar, Five Points Mall Thanks to the Affordable Care Act Dan’s pre-existing conditions didn’t disqualify him from his Aetna plan. But you unfortunately will be disqualified by your lack of a spare $1099 a month. This man who spends his entire day in a mall has outdone you.     Jim Winooski, Tucson Mall Jim once farted loudly in front of a child on the job, but he still has a great United Healthcare plan. You work long into the evening but your employer contributes nothing to your monthly healthcare premiums because you’re technically part-time.   Huck Winslow, Mall of Georgia You have a mole that really needs to be looked at. Huck got two prostrate exams last year, just because. He is a good Santa so we guess he deserves it?   Good health insurance is hard to come by, especially for you. But these mall Santas have found a way.","Dec 8, 2016"
"Let’s Agree To Disagree, Then Ultimately Learn Nothing From Each Other",2908,"One thing’s for sure: Our nation is more polarized than ever before. Bridging the gap between left and right feels like an impossible task when both sides are so different from each other. After months of contentious debate, I’m done with all this arguing, so for the sake of keeping the peace, let’s agree to disagree, then ultimately learn nothing from each other.   This seems like the most civil way to produce the least amount of change possible.   As someone who considers herself a peacekeeper, I feel more comfortable living in a world where everyone gets along. So when we disagree, I simply want us to stop, breathe, and learn to love each other despite our differences of opinion, gaining absolutely nothing from the experience. Isn’t it inspiring to know that we can achieve? I think so! And if you disagree with me, that’s okay, because we can both quietly believe we’re right instead of engaging in a way that might change the way we think.   I’m not asking to avoid difficult conversations. We need to talk openly about controversial topics such as race, women’s access to healthcare and foreign affairs. But we shouldn’t let our vastly different opinions on these topics divide us, just because we think differently from each other. We should accept each other’s differences without trying to change them so we can all remain ignorant in our own special, flawed way forever. I like to call this “taking the high road.” I would encourage you to try it sometime! Although if you don’t, I will respect your decision by completely ignoring it.     Of course, we should all make an effort to listen to each other more without being afraid of hearing a different point of view. For example, though I think we should increase taxes on the wealthiest Americans, I would be happy to hear someone out who thinks we should turn Wall Street into some kind of financial free-for-all. So let’s just say I respect what you have to say, but let’s agree to quit while we’re ahead, and never challenge our belief system in any way so we can maintain this forced acquaintance, shall we?   Am I just a hopeful sap for thinking this seems like the most civil way to never face our most deeply ingrained prejudices and ill-informed opinions?   I’m heartbroken by the anger on both sides of the political spectrum. One side yelling for this, the other side yelling for that. Everyone feeding into the worst parts of each other. It just feels so futile to know that despite what anyone says, I will continue to believe what I choose to believe no matter what, so fuck you.   After all, it shouldn’t be our political opinions, but our love that binds us. So let’s talk to each other, then stop talking when we realize the other person is wrong. Let’s listen to each other, then politely dismiss the effort. Let’s agree to disagree, so we can ultimately remain shielded from the pain of new knowledge forever and ever.","Sep 30, 2016"
Drinks To Let Him Buy You Because Birth Control Costs $50 A Pack,2939,"So, a guy wants to buy you a drink and you’re hesitant about letting him. Your hand automatically reaches for your purse to indicate that you’re willing to pay for yourself. Why are you doing that? You may have a great career and earn more than him, but your birth control still costs $50 a pack. Here are some drinks to go ahead and let him by because women’s healthcare isn’t getting any cheaper:   Gin and Tonic Initially invented as a cheap antimalarial treatment, gin and tonics now cost $17 for some reason. Let your boyfriend buy you one despite your reluctance to reinforce this gender norm. Don’t worry! Remind yourself you’re already paying $50 a pack for a basic medication that should be free. Birth control gives you the ability to plan your life without being hindered by untimely, unwanted pregnancies—a fear men never have to live with! In fact, their inability to get pregnant only gives them more advantages. So just let him buy you this, just this once.   Subak-Soju Subak-Soju is a watermelon juice cocktail that this Citibank analyst wants to buy you, so why not let him? After all, every night he probably showers in the cash he made that day and then flushes it down the toilet. Meanwhile, you’re dropping enough money on birth control to take yourself out for a nice dinner on your own. Did you know that if everyone had access to them, it could prevent up to 71% of the abortions performed in the U.S. annually, and 100% of the abortions performed on you, ever? Repeat this logic to yourself as you let him to buy you this one stupid drink!   The Pavlova You’ll feel as sunny as this apricot cocktail tastes when you say, “Okay fine, you can pay for my drink.” After all, your birth control still costs as much as a budget airline flight to Chicago, even though birth control being free could save the U.S. billions of dollars a year. Because when unwanted pregnancies decrease, so do the costs of public assistance, health care and income lost as a result of lower education among children born to teenage, or otherwise unprepared mothers. So cheers! Just let your date pay for this round because he’ll never have to worry about this stuff.   Bloody Mary The Bloody Mary is a unique blend of tomato juice and vodka that you can just let your boyfriend buy for you. If you feel weird about it, remind yourself that no one’s trying to regulate his body. However, people still protest that insurance covers the birth control you need for your polycystic ovarian syndrome, because they think that women exclusively use birth control for having premarital sex. But many birth control users cite different medical issues ranging from acne to ovarian cancer. At least let your boyfriend be the one leaking money tonight when he pays for this cocktail.   Women’s access to birth control has improved a lot over the years, and there’s still more to be done. In the meantime, at least you didn’t have to pay for this drink?","Aug 29, 2016"
The Best Crystals To Get You Through Another Year Without Health Insurance,1898,"Have you found yourself without health insurance? No worries! Whether you turned 26 and got kicked off your mom’s insurance, can’t navigate the healthcare website, or can’t afford that co-pay, crystals will be there to heal you when Western medicine cannot. Here’s how to harness the ancient mystical powers of crystals until you get coverage again.   Selenite Selenite is a beautiful clear crystal that promotes mental clarity and can clear up headaches. Rub that magical crystal on your head until your mental state is so clear you almost remember your pediatrician’s phone number. Do you think he’ll see you as a favor just this once??   Citrine Citrine is such a powerful crystal that it can block all of the negative energy coming from that hot dog you ate last night at 2AM. Whether it’s an upset tummy or chronic stomach pain you never had checked out, citrine has your back, unless it’s a serious medical condition. Then you better hold onto that citrine real tight and figure your insurance shit out.     Amethyst If you’re losing sleep because you’re worried about going bankrupt without medical insurance, you need an amethyst. Amethyst will calm your worries and help fight insomnia, at least we hope. If not, buckle up for a panic attack. You’re gonna need the help of a professional.   Aquamarine If your allergies are acting up on your three-day trek through the jungle to see a shaman, get some aquamarine to help fight your reaction to the natural environment.. But this one happens to work best when paired with over-the-counter allergy medicine so you better buck up and buy some of that, too.   A year without health insurance is no big deal when you have the magical powers of crystals in your medicine cabinet. Whatever ailment befalls you, there’s a crystal out there to rub on it—but like, you should really try to get insurance again, cause rocks can only help you so much.","Aug 26, 2016"
5 Up-and-Coming Cities to Move To After You Sleep With Your Roommate,2683,"New York, L.A., Chicago, Portland, and Austin get a lot of love, but there are great cities all across the country that are becoming cultural and economic centers. And since you just slept with your roommate you have to get out of there, like now. These cities aren’t New York, but you gave up those dreams when you decided to bang someone you rent an apartment with. Here are the best up-and-coming cities that you can move to now:   Nashville, Tennessee Nashville is a hub of live music and burgeoning auto and healthcare industries. None of this interest you? Well you’re going to have to settle after you snuck into your roommate’s room at 2 AM to “ask him for a Q-tip” and ended up bent over his beanbag chair. Have fun in this fourth-tier city!   Pittsburgh, Pennsylvania Pittsburgh is a great place to live! There are theaters, the famous Andy Warhol Museum, and lots and lots of bridges. And speaking of bridges, it stinks that you burned a bridge with your roommate by going down on him on your sweet back patio that you can no longer enjoy. Since you technically weren’t on the lease and he’s been there the longest, it’s time for you to find a new home in this once-bustling milltown!   Minneapolis, Minnesota Minneapolis is the birthplace of famous musician Prince, which is sort of cool. It’s also one of the most bike-friendly cities in America, which means getting around will be super easy; just like how easy it was to bang your roommate on your shared laminate countertop. He was just so THERE all the time, you know?   Burlington, Vermont Burlington is the new hipster hangout with a focus on sustainability, where restaurants largely cook with local ingredients and residents get their groceries from co-ops. Don’t give a shit about the environment? You should have thought about that before you screwed your roommate against the exposed brick wall in your living room. Say goodbye to your home and hello to organic produce!     Asheville, North Carolina You might have never heard of Asheville, but this southern gem has a great beer community as well as plenty of opportunities to escape into nature. True, you despise the outdoors, but you’ll have to get over that because you humped someone who doesn’t want to date you but does manage to see you before seven o’clock in the morning every day. Living in Asheville will still be better than awkwardly sharing a bathroom after this doozy!   Now that your roommate has seen you naked, it’s time to find a new place to live. These up-and-coming cities won’t meet your expectations at all, but they will help you forget that thing that happened that made everybody in the apartment feel super weird. Happy travels!","Aug 15, 2016"
