Title,Publishing Date,Len,Content
Study Finds Those With Deceased Family Members At High Risk Of Dying Themselves,4/22/15,3044,"BOSTON—Pinpointing the phenomenon as the single greatest predictor of human mortality, a paper published Wednesday in The New England Journal Of Medicine has found that people with deceased family members run an extremely high risk of dying themselves. The groundbreaking study, which tracked the health and well-being of 85,000 subjects over a period of 40 years, discovered that people who have one or more relatives who have passed away are very likely, one day, to die as well. “It appears that individuals with a family history of death have a strong genetic predisposition toward dying,” said the paper’s lead author, Dr. Samantha Booth, who explained that the finding held true regardless of a subject’s race, nationality, gender, or socioeconomic status. “Based on anecdotal evidence, we’ve long suspected an inherited trait could play a major role in determining whether a person dies, but we were surprised to see just how strong the correlation truly is.” “Unfortunately, for members of this cohort, death appears to be all but inevitable,” she continued. According to the study’s authors, the likelihood of future mortality remains high regardless of whether one’s immediate family members have died, or whether only more distant relations have passed on. Based on their findings, researchers hypothesize that death is handed down through individual lineages, becoming a devastating family curse that is passed from parent to child and which tends not to skip a generation. In addition, a separate study of some 8,000 individuals who died in the Hartford, CT area found that every one of the deceased had ancestors who had died before them, further suggesting a family link. While people from afflicted lineages can reportedly prolong their lives by developing healthy habits such as a nutritious diet and regular exercise, researchers stated that, in the end, no matter how many precautions they take, their genetic susceptibility to dying will win out. “We recommend alerting your doctor if there’s a history of death in your family, and if you aren’t certain, you should ask your parents if they know of any fatalities among your relatives,” Booth said. “This is also important information to know before deciding to have children yourself. Even if your own family is alive and well, it’s possible there is death somewhere in your partner’s ancestry.” “If you have a grandparent or even a great-grandparent who has died, then sadly, the odds of your kids eventually dying are quite high,” she added. When reached for comment, several of the study’s participants acknowledged they had at least one deceased family member, and expressed their fear and concern to reporters. “I feel perfectly healthy now, but knowing that my father died definitely makes me worry that the same thing could happen to me one day,” said Randy Lewis, a 49-year-old who took part in the study. “But my mom is still alive, so I’m keeping my fingers crossed that I take after her side of the family.” Added Lewis, “Unfortunately, I can only wait and see.”"
Corporate Wellness Programs,4/16/15,295,"Following in the footsteps of Google’s new employee meditation program, companies across the country are introducing more wellness initiatives aimed at keeping health care costs down and boosting worker productivity. Here’s how companies are incentivizing health and wellness in their workforce:"
"FDA Figures It Will Get Around To Regulating Supplements With Names Like Black Widow, Yellow Demon",4/09/15,1433,"WASHINGTON—Saying that keeping an eye on the billion-dollar industry probably couldn’t hurt, the Food and Drug Administration reportedly figured aloud Thursday that sooner or later it would get around to regulating supplements with names like Black Widow and Yellow Demon. “I guess it wouldn’t be a bad idea at some point to assess the safety of products like energy pills that have a highly venomous spider on the logo and promise to ‘give your system a jolt’ once we get a few things off our plate,” said FDA official Donald Reece, adding that when they had the time, the agency’s chemists should really give a quick once-over to currently unregulated dietary products featuring the words “carnage,” “napalm,” “or “Hemo-Rage” written on the package in bold, fluorescent letters. “Now that I think about it, it probably makes sense to do at least a cursory study on any substance that consists of wholly untested chemical compounds and 6,000 times the recommended daily allotment of certain rare minerals. And if the container has the letter ‘X’ formed by two intersecting lightning bolts or a grimacing skull with glowing eyes, that might be a good reason to inspect it one of these days.” Reece, who confirmed that the FDA intends to look into these products eventually, said that a high-profile teenage athlete overdosing on a bodybuilding supplement named something like Doomsday Assault could get the ball rolling a lot faster."
Narcissist Convinced Total Strangers Would Want His Organs,4/02/15,699,"AIKEN, SC—Demonstrating a total absorption in himself and his anatomy, narcissist Jesse Serrano is convinced that total strangers would actually want his organs, sources confirmed Thursday. “It was easy enough to sign up when I got my license, so I figured, why not?” said the pathologically self-obsessed man, who reportedly sincerely believes that people he has never met before would be willing, even grateful, to have his liver, heart, or lungs replace their own. “I mean, it’s not like I’m gonna need my organs when I’m gone.” The raging egomaniac, certain that everything inside another person’s body would be greatly improved if it were his, also told reporters that he already donated blood."
New Healthier Menu Features Food Wendy’s Customers Bring From Home,3/26/15,1050,"DUBLIN, OH—Responding to consumer demands for healthier offerings, Wendy’s announced this week the addition of its new Fit ‘N’ Fast menu, which features food that customers bring in from home to eat at the restaurant. “People still love Wendy’s classic old-fashioned hamburgers and Frosty desserts, but they also want to have fresh, low-calorie options, so we’ve decided to incorporate a variety of wholesome items that our diners prepare themselves,” said Wendy’s deputy marketing director Ralph Jones, telling reporters the fast food chain was proud to be including a wide assortment of heart-healthy, vegetarian, and nutritious homestyle choices for the very first time. “At each of our more than 6,500 locations, we’ll be making room for everything from lentil soup to mixed greens to baked salmon, all hand-selected by customers from their own refrigerators and brought directly to a table at Wendy’s.” Jones went on to state that with any Fit ‘N’ Fast meal customers could add fries and a 24-ounce soda, if they’re being honest with themselves."
Siblings Playing Tense Game Of Chicken To Decide Who Going To Care For Mom,3/23/15,1073,"POUGHKEEPSIE, NY—As they each attempted to avoid the responsibility while still upholding the appearance of selfless concern, the three adult siblings of the MacIntyre family engaged in a tense game of chicken to decide which of them would care for their aging mother, sources confirmed Monday. “Mom could probably come live with me—there’s a little more space in our house now that the kids are away at college,” said youngest sibling Alison MacIntyre, 54, who, after setting herself on a collision course to support her ailing mother for the foreseeable future, sat silently praying she might be spared the burden at the last second by a counteroffer from either her brother or her sister. “Of course, if the boys come back to live at home over the summer we’d all be a bit cramped for a few months, but it’ll be fine. I can probably manage it.” According to sources, as her children’s tense standoff continued indefinitely, 82-year-old Marjorie MacIntyre began to worry that no one would call her out on her repeated bluff that she could take care of herself on her own."
Scientists Discover Eating Serves Function Other Than Easing Anxiety,3/17/15,1205,"PROVIDENCE, RI—Shedding new light on the biological underpinnings behind the behavior, scientists at Brown University announced Tuesday that eating appears to serve a number of key functions besides relieving anxiety. “While a considerable portion of food is indeed ingested in order to distract an individual from feelings of panic and insecurity, our research shows that eating actually confers several benefits beyond temporarily holding despair at bay,” said Dr. Sandra Lutkin, who explained that consuming food has been found to provide vital nutrients to the human body and in many cases replenish it with energy, suggesting that its primary purpose may not be as a coping mechanism at all. “In fact, we observed dozens of subjects and discovered that only a portion of the items they ingested were intended to assuage their apprehension about their job, relationship, or body image. However, much more research must be conducted to learn more about these little-known, non-stress-relieving purposes of eating.” Although she cautioned the findings were tentative, Lutkin posited that there might be additional methods of eating besides frantically devouring a meal directly over a trash can or sink."
"Man’s Bloodstream Enjoys Hour-Long Intermission Between Coffee, Alcohol Blitzes",3/13/15,958,"PHOENIX—Reveling in a brief period during which it was reasonably free of any toxic substances, local man Trevor Gipson’s bloodstream reportedly enjoyed an hour-long intermission Friday between its daily coffee and alcohol blitzes. Sources confirmed that the blood flowing through Gipson’s body savored all 60 minutes in which two morning cups of coffee and an afternoon latte were no longer drastically elevating the office manager’s pulse, but before several after-work cocktails would dilate his blood vessels and send his blood pressure plunging. As the stimulant effects of the caffeine subsided late in the afternoon, Gipson’s bloodstream reportedly basked in a pleasing equilibrium that remained until being neutralized by a flood of depressants from happy hour drinks at local tavern O’Reilly’s. At press time, Gipson’s bloodstream was cherishing the 30-second pause between alcohol consumed at the bar and the cocaine consumed in the bar’s restroom."
Tips For Living Longer,3/04/15,246,"Thanks to better medical care and higher quality of life, human beings are living longer than ever. However, longevity is determined by more than just your genes and living conditions. Here are some things that you can do to extend your lifespan:"
Man Who Stopped Dieting Already Seeing Results,3/04/15,679,"MIDDLETOWN, KY—Noting that his new look had really turned heads among friends and family, local man Steven Jensen told reporters Wednesday that he had recently stopped dieting and had already started to see results. “It’s only been a month since I made the switch, but you can tell how much my body’s changed,” said Jensen, adding that he found himself purchasing a new wardrobe last week after discovering most of his clothes no longer fit him. “I don’t just look different, I feel different. I mean, who knows where I’ll be if I keep this up all year long?” Jensen went on to say that dropping his diet at the same time his wife dropped hers has made it easier on both of them."
Once-Loyal Enabler Betrays Man By Suggesting Therapy,2/26/15,740,"ANN ARBOR, MI—After years of faithfully supporting every bad decision he made, a formerly dependable enabler of local man Ken Vatter reportedly betrayed him Thursday by casually suggesting he see a therapist about his problems. “Maybe it wouldn’t hurt for you to talk to somebody,” said the modern-day Judas, who sources confirmed could once be relied upon to encourage whatever self-destructive behavior or antisocial activity Vatter chose to engage in. “I’m always here for you, but I’m just saying that it might not be a bad idea to sit down with a professional.” At press time, the man who had heartlessly stabbed Vatter in the back was compounding his act of treachery by offering to put his friend in touch with the person he goes to."
New Gym Member Lingers By Free Weights For Several Seconds Before Returning To Elliptical Machine,2/19/15,1050,"EAGAN, MN—After tentatively approaching the extensive rack of dumbbells located along the gym’s wall, new Bally Total Fitness member Brian Vinje was seen lingering in the vicinity of the free weights for several seconds Thursday before returning to the elliptical machine on which he had previously been exercising, onlookers reported. According to accounts, Vinje took roughly eight seconds to peruse the wide selection of weights, lightly touching the grip of a 20-pound dumbbell for a moment, before retreating a short distance and briefly pretending to become occupied by a poster of human musculature on the wall. While reportedly pausing to cast a furtive glance around the room, Vinje is said to have made fleeting eye contact with another gym-goer seated on a nearby bench, causing him, by all accounts, to abruptly jerk his gaze back to the rack and to scan it as if searching for a specific desired weight. At press time, Vinje was seen with his eyes focused downward as he once again engaged the default settings on the elliptical trainer."
Tim Duncan Raving About Health Benefits Of Standing Bench,2/18/15,1118,"SAN ANTONIO—Explaining that it significantly reduces the risk of cardiovascular disease and promotes healthier metabolism, Spurs power forward Tim Duncan reportedly spent the majority of practice Wednesday extolling the numerous benefits of switching to a standing bench. “You can still watch the game, cheer for the team, and do everything else you normally do, but it’s so much healthier than sitting,” said Duncan, adding that players who use a traditional bench are far less productive while setting screens on the perimeter or getting down the floor during a fast break. “Sitting for 20 or 30 minutes every game really adds up over the season, and it could end up shortening your career by years. You’d be amazed at how much of a difference standing can even make to your general energy level, especially if you’re someone who tends to sit for long stretches of a half without ever getting up to sub in.” Duncan also urged head coach Gregg Popovich to always use a gel anti-fatigue mat, stressing the importance of providing sturdy, cushioned support for the feet and knees when drawing up plays during a timeout."
Guy Washing Hands For Full 5 Seconds Like He’s Going Into Surgery,2/18/15,892,"CANTON, OH—In a display of strict sanitary protocol that sources say he must have learned back in medical school, local marketing assistant Jeremy Garton reportedly washed his hands for a full five seconds Wednesday as if he were moments away from rushing into surgery. “Looks like Mr. MD needs to scrub his hands real well if he’s going to keep everything nice and clean for his patient,” said coworker Robert Desrochers, who noted how Garton must be prepping for a complex medical procedure given how he insisted on fully wetting both hands and actually rubbing them together beneath the faucet. “He used a squirt of soap and everything. I guess he’s getting ready to put on his scrubs and head into the OR to perform a quadruple bypass.” At press time, Garton—the world-renowned open-heart surgeon himself—was drying his hands using a paper towel instead of just rubbing them on his jeans."
"New Study Finds Therapy, Antidepressants Equally Effective At Monetizing Depression",2/17/15,999,"NORMAN, OK—Noting that similar outcomes were achieved under both approaches, a landmark decade-long study of mental health treatment options published Tuesday has found that talk therapy and antidepressant medications are equally effective at monetizing clinical depression. “Our data indicate that regular counseling sessions and prescription drugs have similarly high success rates in generating large sums of money from the clinically depressed,” said Katherine Hutton of the University of Oklahoma, the study’s lead author, noting that both methods demonstrated consistent positive earnings across chronic, episodic, and seasonal depression cases. “While some people make tremendous profits with drugs, others see substantial revenues from therapy. Together, these are two very powerful tools for improving the health care industry’s bottom line.” The study concluded that when both approaches are combined, financial results are likely to be reached far more quickly than with one method alone."
Man’s Food Poisoning Could Realistically Be Traced Back To Any Meal From Past Week,2/12/15,965,"NEW YORK—Determining that not one of his recent food selections was entirely above suspicion, local man Kevin Curhan said Thursday that his food poisoning could realistically be pinned on any meal from the past week. “I had that leftover burrito for lunch yesterday, and that’d been sitting around in the fridge for a pretty long time, but then again, the milk I had that morning was also kinda off,” said Curhan, adding that the food from the $4.99 Chinese buffet and the fried eggs he realized were undercooked but went ahead and ate anyway could also be responsible for the overpowering nausea he was currently experiencing. “Then there were those turkey cold cuts I had Tuesday that were a couple of days expired. Those have to be at least part of it, don’t they? There’s probably a few other things I’m not thinking of, too.” At press time, Curhan was comfortable removing only a bowl of plain oatmeal consumed last Saturday from his list of possible culprits."
"Health Experts Recommend Standing Up At Desk, Leaving Office, Never Coming Back",2/06/15,1361,"ROCHESTER, MN—In an effort to help working individuals improve their fitness and well-being, experts at the Mayo Clinic issued a new set of health guidelines Thursday recommending that Americans stand up at their desk, leave their office, and never return. “Many Americans spend a minimum of eight hours per day sitting in an office, but we observed significant physical and mental health benefits in subjects after just one instance of standing up, walking out the door, and never coming back to their place of work again,” said researcher Claudine Sparks, who explained that those who implemented the practice in their lives reported an improvement in mood and reduced stress that lasted for the remainder of the day, and which appeared to persist even into subsequent weeks. “We encourage Americans to experiment with stretching their legs by strolling across their office and leaving all their responsibilities behind forever just one time to see how much better they feel. People tend to become more productive, motivated, and happy almost immediately. We found that you can also really get the blood flowing by pairing this activity with hurling your staff ID across the parking lot.” Sparks added that Americans could maximize positive effects by using their lunch break to walk until nothing looks familiar anymore and your old life is a distant memory."
All Of Man’s Accomplishments Overshadowed By Hefty Birth Weight,1/30/15,1221,"RICHBORO, PA—Saying that no other fact about him elicits more interest and attention from others, local man Travis Whitaker explained to reporters Friday how all of his numerous accomplishments are routinely overshadowed by his hefty birth weight of 10 pounds, 6 ounces. “You know, I’ve risen pretty far at my law firm in only a few years, I ran track at college, and I’ve played piano my whole life, but as soon as people find out how much I weighed as a newborn, all of that goes right out the window, and they just want to talk about how much bigger I was than regular babies,” said Whitaker after excusing himself from a break room conversation that was sidetracked by a question about whether he “look[ed] like the Michelin Man” back then. “I always get a way bigger reaction to that than when I talk about my trip to Patagonia or the law journal article I had published. Once they hear how large I was, their eyes just light up, and all they care about is asking to see my baby pictures so they can look at my big chubby cheeks.” At press time, sources confirmed that a coworker was interrupting Whitaker’s story about studying abroad for a year in Venice to say that his delivery must have been hell on his mother."
The Onion’s Guide To Gym Etiquette,1/22/15,260,"Every new year brings a surge in gym membership from new members nicknamed “resolutionists,” many of whom may be unaware that there are unspoken rules everyone must observe when working out. Here are some rules of etiquette that every gym member should follow:"
FDA Approves New Drug For Treating Pill Deficiencies,1/16/15,1124,"WASHINGTON—In what is being considered a major breakthrough for the millions of Americans suffering from a severe lack of capsules and tablets, the FDA announced Friday that it had approved a new drug for treating pill deficiencies. “After months of clinical testing, our studies show that regular usage of this drug provides an immediate boost to the number of caplets in the patient’s body,” said FDA spokesperson Anita Brown-Reed, noting that the fast-acting medication is safe for people of all ages who currently experience symptoms of pill shortage, such as seeing just one or two bottles of medicine in their bathroom cabinet or swallowing capsules twice a week or less. “Certainly those with dangerously low levels of pills may need to take a stronger dosage, possibly three or even four of these 500 mg tablets per day, based on their physician’s recommendation. Overall, however, this treatment appears to provide hope for the countless Americans who are currently living with an entire empty row in their pillbox.” Brown-Reed noted, however, that the new pill may leave patients with an increased risk of co-pays."
Personal Trainer Impressed By Man’s Improved Excuses,1/13/15,1198,"SAN JOSE, CA—Acknowledging that the progress made in such a short amount of time was remarkable, Club One Fitness personal trainer Logan Kaiser told reporters Tuesday he is very impressed by the improvement in both the strength and consistency of his client’s excuses. “He’s starting to come along; a few months ago he had really weak pretenses for not sticking to a workout plan, but he’s put in a lot of effort and now he’s sporting much more robust and powerful justifications,” said Kaiser of 36-year-old software engineer Jeffrey McGann, noting that the gym member’s exculpatory anecdotes had already tripled in size and were becoming far more difficult to verify. “After seeing how he struggled early on with a simple excuse about traffic, it’s gratifying to see him push himself and dig deep for rationalizations that more believably exonerate him. And you can tell it’s gotten a lot easier. His total commitment to tackling a long, grueling story about how construction in his neighborhood aggravated his dust mite allergies was outstanding.” At press time, Kaiser expressed concern after learning that McGann would be unable to make it to the gym due to an unspecified workplace emergency."
New Express Transplant List Offers Patients Kidney Or First Available Organ,12/02/14,3223,"WASHINGTON—In an effort to shorten the wait time for dialysis patients in need of a donor, the Department of Health and Human Services this week opened a new express transplant list to the public that matches candidates with either a kidney or any other organ at all. According to sources, the new system allows patients to select from a list of alternative organs, such as a heart, liver, or lung, that they would like to receive should a kidney be unavailable. By no longer restricting kidney patients to one specific donor organ, officials estimate that the average wait for transplant candidates will fall dramatically, from an average of three to five years to less than 24 hours. “With over 100,000 people currently unable to find kidney transplants, this expedited list will ensure that each and every one of them receives at least some type of organ in a timely manner,” said HHS Secretary Sylvia Mathews Burwell, adding that in some instances, patients have been ushered into surgery minutes after signing the registration form. “The long wait puts unnecessary stress on those who are already sick, so we hope to alleviate that pressure by quickly locating and implanting whatever we can get our hands on.” “Getting a kidney is ideal, but a pancreas can be a precious gift, too,” Burwell added. Whereas more than 4,000 people died annually while waiting for a transplant under the old system, the upgraded list has reportedly eliminated this problem completely, with every patient rapidly receiving a kidney or a more immediately obtainable organ. In addition to major organs, sources said the new protocols allow for kidneys to be replaced with tissue, such as nerve bundles or lumps of cartilage. The new list has reportedly drawn praise from patients, who have seen their anxiety vanish virtually overnight at the prospect of their diseased kidneys quickly being exchanged for more accessible body parts. “I was so sick of leaving my fate up in the air using the old system, never knowing if I’d get the transplant I needed in time,” said 58-year-old diabetic Janet Martin, who selected an intestinal tract, a thymus gland, and 17 other potential backups for the kidney she has been waiting on since 2010. “Now, I know there’s a 100 percent chance I’ll get a new organ, and there’s a 5 percent chance it’ll be the one I really want.” “That certainty means so much,” Martin added. “I don’t have to lie awake worrying—I’m getting a kidney or something else real soon.” But despite the speedy access to transplant organs provided by the new list, critics have alleged that more affluent individuals are offered their preferred kidney alternatives, while less well-off patients are consistently presented with their least desired options. “If I couldn’t get a kidney, I would have been fine with a gallbladder, a cornea, a spleen—a whole bunch of things,” said Christopher Corvese, 42, who suffers from a genetic condition that produces cysts in kidney tissue. “I bet if I were a millionaire, I’d probably get the heart valve I was really excited about. But, no, I got offered a face transplant, which was way, way at the bottom for me.” “I’ll take it, of course,” added Corvese. “I mean, it’s better than nothing.”"
Pacific Ocean Quarantined After Contact With Carnival Cruise Ship,11/17/14,1014,"WASHINGTON—In an effort to control the spread of a significant health threat, the Centers for Disease Control and Prevention quarantined the Pacific Ocean Monday after the body of water reportedly came into contact with Carnival’s Crown Princess cruise ship. “This morning at 10:05 a.m., we confirmed direct exposure between the Pacific Ocean and a Carnival cruise liner, and we took immediate action to confine all 63.8 million square miles of its water,” said CDC director Thomas Frieden, adding that crews were erecting a biohazard tent over the area spanning from Tokyo Bay to the Los Angeles coastline. “The movement of all sea life will be highly restricted while the Pacific Ocean is closed off for a full 30-day monitoring period, during which time health officials will inspect the marine expanse for symptoms of any Carnival Cruise-based contagion.” Frieden expressed relief that officials had fortunately prepared for this possibility and caught the outbreak before any infected waves reached the shore."
Thrill-Seeking Man Wonders How Long He Can Keep Up Dangerous Sedentary Lifestyle,10/30/14,4291,"PHOENIX—Acknowledging that it’s only a matter of time before his high-risk pursuits finally catch up to him, local thrill-seeker Daniel Erickson told reporters Wednesday that he often wonders just how long he can keep up his extremely hazardous sedentary lifestyle. The 36-year-old IT specialist said that, while he lives for the exhilarating danger that comes from spending nearly every waking hour sitting at his computer, watching television, or playing with his smartphone in bed, he is fully aware that he is balancing on the razor’s edge with each passing, virtually immobile day. “I’m skating on thin ice living my life like this, but chasing after those extreme risks is just in my blood,” said Erickson, who noted that spending the vast majority of his time in a slumped or fully recumbent position is all part of the nonstop game of chance that he thrives on. “I know that if I keep tempting fate by stretching out on the sofa all day, I’ll eventually pay the price, but I’m not someone who can do things halfway. If I’m going to play with fire by lying across those cushions every chance I get, then I’ve got to go all out, with as little bodily movement as possible. That’s just the way I am.” “A lot of people want to play it safe by engaging in some kind of physical activity every now and then,” he continued. “Not me, though. I live for the rush.” The adventure-seeker told reporters that getting absolutely no aerobic exercise has been a part of his devil-may-care attitude for most of his life, adding that he has been “pressing [his] luck” with prolonged periods of idleness for as long as he can remember. Erickson explained that he continues to “roll the dice” in search of thrills on a daily basis, from his office job where he pushes himself to the limit by staring at the same screen for eight or more hours every day, to his domestic life, in which he ignores grave perils each night by sinking into his recliner with a box of Cheez-Its and remaining there virtually motionless long into the evening. According to Erickson, he must constantly raise the stakes on his daredevil behavior to achieve the same pleasurable sensations he used to feel. The local man told reporters that he is now kicking back with his legs up on his coffee table or lying in his backyard hammock for longer periods of time than ever before in search of a greater and greater high. “When I started out, I would take an occasional exhilarating midday nap, but I would always pull back from the edge by walking around the neighborhood or doing a little bit of yard work every so often. Now, though, that won’t cut it—I have to keep taking things to the next level,” said Erickson, noting that he is no longer content with spending merely four or five hours playing Xbox or watching only a portion of a daylong Breaking Bad marathon. “The thing is, sitting there for just the standard 8 p.m.-to-midnight block of primetime television just doesn’t carry the risk I need to get my adrenaline flowing anymore. Now, I’m pushing myself further than I’ve ever gone before, sometimes confining myself to the same spot on the couch for 16 hours at a time.” As he continues to push the envelope with his increasingly dangerous sedentary behavior, Erickson readily admitted that he is putting his well-being at risk, conceding that his pulse-pounding stationary lifestyle might end up seriously hurting him one day or even sending him to an early grave. “My girlfriend gets worried sick every time she sees me go out to the den with snacks in hand and then not come back for half a day or more,” said Erickson, adding that he is fully aware that he can only engage in the intoxicating thrill of spending an entire weekend watching multiple full seasons of a TV show on Netflix so many times before he winds up in the hospital. “And believe me, I realize that I’m walking a dangerous line every time I get my lunch order delivered straight to my cubicle or spend my entire Saturday lounging against my bed’s headboard reading back issues of Ultimate X-Men on my iPad. But taking these kinds of crazy risks is just part of who I am, and there’s no changing that.” “Maybe I’m putting my life in jeopardy living the way I do,” he continued. “But I want to spend what time I have on earth doing what I love.”"
Delicate Little Man Kept Awake All Night By Having Coffee After Four O’Clock,10/29/14,593,"GRAND RAPIDS, MI—Tossing and turning way past his beddy-bye, delicate little man Jeremy Palazola was reportedly unable to sleep Tuesday night because he drank a teensy bit of coffee after four o’clock. “I’ll have a cup in the morning sometimes, but that’s usually it,” said the precious flower, who tried and tried to keep his eyes closed but remained wide awake from the itty-bitty beverage he had 10 hours earlier. “I knew I shouldn’t have had any during the afternoon meeting, but I was just feeling so out of it.” At press time—oh no!—the darling little angel was getting a big tummy ache."
NYC Officials Assure Public Most Puddles Of Bodily Fluid On Streets Not Contaminated With Ebola,10/24/14,1033,"NEW YORK—Hoping to downplay fears of a potential Ebola outbreak in New York City, health officials assured residents Friday that most puddles of bodily fluid found on the streets are not contaminated with the deadly Ebola virus. “I want to emphasize that the pools of vomit, urine, and other fluids people may notice as they walk around the city are very unlikely to be contaminated with Ebola,” said New York City health commissioner Dr. Mary Bassett, adding that such fluids, as well as occasional clumps of feces, were almost certainly not deposited onto the streets and sidewalks by an infected individual. “While we are confident that these substances are free of Ebola specifically, contact with them may pose other health hazards, so we encourage all New Yorkers to continue stepping over them as always. There is no reason for anyone to change their normal routine.” Bassett went on to say that any individual who displayed the symptoms indicative of Ebola should immediately refrain from discharging bodily fluids in public."
Tips For Finding The Right Doctor,10/22/14,216,"Every person has different needs and preferences when it comes to health care, which is why it’s essential to find a high-quality physician whom you trust and respect. Here are some tips for finding the right doctor:"
Flu Clinic Selling 2009 Version Of Vaccine For A Few Bucks Cheaper,10/21/14,997,"OMAHA, NE—Saying that it probably still protects against a few strains of the virus going around this flu season, the immunization clinic at Nebraska Family Health Center is now offering doses of the 2009 influenza vaccine at a discounted price, sources confirmed Tuesday. “We had a bunch of the older stuff sitting around that we didn’t want to see go to waste, so we figured why not offer it for a few dollars cheaper,” said clinic nurse Jeanette Coleman, remarking that the older vaccines probably work “pretty well” when compared to those made for the 2014 season. “There are, of course, people who always like to get the latest version of whatever’s out there, but these five-year-old inoculations are a decent enough option if you’re looking to save a little money. To be honest, unless they see the date on the vial, most people can’t even tell the difference.” Coleman added that if a customer wants an even deeper discount, the clinic can administer the vaccine with a gently used needle."
Nurse Being Treated For Ebola Impressed With Health Workers’ New Gear,10/20/14,1084,"DALLAS—Admiring the personal protective equipment shielding her caregivers from the deadly virus, a nurse receiving treatment for Ebola told reporters Monday that she was very impressed with the medical workers’ newly issued biohazard gear. “Wow, I only had the flimsy gown that exposed several inches around my neck, but this guy’s decked out in a really nice full-body suit that covers everything,” said the infected nurse, who was particularly taken by the updated gear’s sealed hood, large apron, rubber boots, and second pair of surgical gloves, which are now recommended by the CDC for all hospital staffers treating patients exposed to the disease. “Sure, the surgical mask I had seemed great at the time, but the brand-new breathing pack and air filtration system my nurse was using really take the cake. It’s cool to be one of the first people to see this high-tech equipment.” The nurse confirmed she was most impressed with the new protocols for removing the biohazard gear, which reportedly involved more than tossing the protective clothing in the hospital’s laundry bin."
Tracking Ebola In The U.S.,10/20/14,359,"With eight confirmed cases of the highly fatal Ebola virus in the U.S. and revelations that health care workers potentially exposed to it have traveled on passenger flights and cruise ships, fears that the disease will spread across the country have grown. Here is an up-to-date map that can help you track the proliferation of Ebola across the United States:"
Hazmat Worker Sees No Reason To Throw Away All This Perfectly Good Food,10/17/14,826,"DALLAS—Claiming he would hate to see a carton of unspoiled milk and an entire loaf of bread go to waste, hazardous materials removal worker Jonathan Parker reportedly saw no reason Friday to throw away perfectly good food while disinfecting the apartment of an Ebola-stricken patient. “This pork roast can’t be more than a couple days old,” said Parker, lamenting the idea that a large hunk of parmesan cheese, fine-looking grapes, and a full head of cauliflower would be destroyed and deposited in a remote biohazard disposal site. “These eggs definitely look like they’re still pretty fresh. And that container of yogurt doesn’t expire for three more weeks—and it’s blueberry, too.” At press time, Parker was reportedly spotted carefully placing several grocery bags full of snacks and fresh produce in the trunk of his car."
Researchers: Quality Of Sleep May Be Affected By Abandoning Family In 1994,10/14/14,1277,"CHAMPAIGN, IL—According to a study published this week by researchers at the University of Illinois, an individual’s ability to get a good night’s sleep may be directly influenced by having made a decision 20 years ago to walk out on their family and never return. “In many cases, we found that chronic insomnia is strongly linked to reaching one’s breaking point on a winter evening back in 1994, waiting until everyone in the house was in bed, and then driving off into the night without looking back,” said study co-author Tim Liu, who noted a close correlation between erratic delta waves during stage 3 of the sleep cycle and not having spoken to your daughter since you tucked her in that night when she was 7. “Additionally, we saw that while nearly everyone who deserted their loved ones experienced some form of sleep loss, those who exhibited the most restless nights were the ones who told their new families they were off working on container ships 20 years ago instead of coming clean about the spouse and three children they left behind halfway across the country.” In a related finding, the researchers also concluded that individuals who carry on extramarital affairs with someone their spouse trusts sleep eight hours every night and always awake fully rested."
Genetics Emphatically Deny Playing Any Part In Area Man’s Body,10/13/14,1334,"TRUSSVILLE, AL—Attempting to distance themselves from the man’s outward appearance, the 46 chromosomes of local sales associate Peter Macon vociferously denied Monday that they had played a direct role of any kind in the present state of his physique. “Though it’s true we contributed a number of basic physical features early on, the condition of Peter’s body has long been out of our hands—this is completely on him,” said a strand of Macon’s DNA, explaining that, while it bore some responsibility for Macon’s overbite and male-pattern baldness, it could not be held accountable for the widening girth, sallow complexion, and double chin of a man whose every meal consists of either prepackaged, processed foodstuffs or an entire 16-inch delivery pizza. “We did our best to pass along traits that would predispose him toward healthy protein synthesis and muscle growth, but if Peter doesn’t get up from his recliner and exercise every now and then, there’s not much we can do to help him. We’re not the ones telling him to eat handfuls of shredded cheese as a snack and sit there watching 15 hours of Hulu every weekend.” The genes later conceded that what Macon is doing to his body didn’t actually matter at this point, as they were planning to kill him off through a congenital heart defect within the next few years regardless."
